example_id                                                                                  | status  | run_time        |
------------------------------------------------------------------------------------------- | ------- | --------------- |
./spec/acceptance/api/v2/account_lists/designation_accounts_spec.rb[1:1:1:1]                | passed  | 0.08745 seconds |
./spec/acceptance/api/v2/account_lists/designation_accounts_spec.rb[1:1:2:1]                | passed  | 0.07111 seconds |
./spec/acceptance/api/v2/account_lists/donations_spec.rb[1:1:1:1]                           | passed  | 0.15691 seconds |
./spec/acceptance/api/v2/account_lists/donations_spec.rb[1:1:2:1]                           | passed  | 0.12637 seconds |
./spec/acceptance/api/v2/account_lists/donations_spec.rb[1:1:3:1]                           | passed  | 0.15407 seconds |
./spec/acceptance/api/v2/account_lists/donations_spec.rb[1:1:4:1]                           | passed  | 0.12886 seconds |
./spec/acceptance/api/v2/account_lists/donor_accounts_spec.rb[1:1:1:1]                      | passed  | 0.0796 seconds  |
./spec/acceptance/api/v2/account_lists/donor_accounts_spec.rb[1:1:2:1]                      | passed  | 0.14735 seconds |
./spec/acceptance/api/v2/account_lists/filters_spec.rb[1:1:1:1]                             | passed  | 0.13255 seconds |
./spec/acceptance/api/v2/account_lists/imports_spec.rb[1:1:1:1]                             | passed  | 0.2802 seconds  |
./spec/acceptance/api/v2/account_lists/imports_spec.rb[1:1:2:1]                             | passed  | 0.41018 seconds |
./spec/acceptance/api/v2/account_lists/invites_spec.rb[1:1:1:1]                             | passed  | 0.07541 seconds |
./spec/acceptance/api/v2/account_lists/invites_spec.rb[1:1:2:1]                             | passed  | 0.07456 seconds |
./spec/acceptance/api/v2/account_lists/invites_spec.rb[1:1:3:1]                             | passed  | 0.12372 seconds |
./spec/acceptance/api/v2/account_lists/invites_spec.rb[1:1:4:1]                             | passed  | 0.07536 seconds |
./spec/acceptance/api/v2/account_lists/mail_chimp_account_spec.rb[1:1:1]                    | passed  | 0.08926 seconds |
./spec/acceptance/api/v2/account_lists/mail_chimp_account_spec.rb[1:2:1]                    | passed  | 0.08499 seconds |
./spec/acceptance/api/v2/account_lists/mail_chimp_account_spec.rb[1:3:1]                    | passed  | 0.07215 seconds |
./spec/acceptance/api/v2/account_lists/merge_spec.rb[1:1:1:1]                               | passed  | 0.11454 seconds |
./spec/acceptance/api/v2/account_lists/notifications_spec.rb[1:1:1:1]                       | passed  | 0.09728 seconds |
./spec/acceptance/api/v2/account_lists/notifications_spec.rb[1:1:2:1]                       | passed  | 0.09096 seconds |
./spec/acceptance/api/v2/account_lists/notifications_spec.rb[1:1:3:1]                       | passed  | 0.09245 seconds |
./spec/acceptance/api/v2/account_lists/notifications_spec.rb[1:1:4:1]                       | passed  | 0.09328 seconds |
./spec/acceptance/api/v2/account_lists/notifications_spec.rb[1:1:5:1]                       | passed  | 0.09108 seconds |
./spec/acceptance/api/v2/account_lists/prayer_letters_account_spec.rb[1:1:1:1:1]            | passed  | 0.10001 seconds |
./spec/acceptance/api/v2/account_lists/prayer_letters_account_spec.rb[1:1:1:2:1]            | passed  | 0.09911 seconds |
./spec/acceptance/api/v2/account_lists/prayer_letters_account_spec.rb[1:1:1:3:1]            | passed  | 0.13759 seconds |
./spec/acceptance/api/v2/account_lists/prayer_letters_account_spec.rb[1:2:1:1]              | passed  | 0.09203 seconds |
./spec/acceptance/api/v2/account_lists/users_spec.rb[1:1:1:1]                               | passed  | 0.09265 seconds |
./spec/acceptance/api/v2/account_lists/users_spec.rb[1:1:2:1]                               | passed  | 0.0884 seconds  |
./spec/acceptance/api/v2/account_lists/users_spec.rb[1:1:3:1]                               | passed  | 0.12071 seconds |
./spec/acceptance/api/v2/account_lists_spec.rb[1:1:1:1]                                     | passed  | 0.06989 seconds |
./spec/acceptance/api/v2/account_lists_spec.rb[1:1:2:1]                                     | passed  | 0.07064 seconds |
./spec/acceptance/api/v2/account_lists_spec.rb[1:1:3:1]                                     | passed  | 0.07648 seconds |
./spec/acceptance/api/v2/tasks/tags_spec.rb[1:1:1:1]                                        | passed  | 0.1021 seconds  |
./spec/acceptance/api/v2/tasks/tags_spec.rb[1:1:2:1]                                        | passed  | 0.09176 seconds |
./spec/acceptance/api/v2/tasks_spec.rb[1:1:1:1]                                             | passed  | 0.09293 seconds |
./spec/acceptance/api/v2/tasks_spec.rb[1:1:2:1]                                             | passed  | 0.08483 seconds |
./spec/acceptance/api/v2/tasks_spec.rb[1:1:3:1]                                             | passed  | 0.72024 seconds |
./spec/acceptance/api/v2/tasks_spec.rb[1:1:4:1]                                             | passed  | 0.08937 seconds |
./spec/acceptance/api/v2/tasks_spec.rb[1:1:5:1]                                             | passed  | 0.08431 seconds |
./spec/acceptance/api/v2/user/authentications_spec.rb[1:1:1]                                | passed  | 0.08891 seconds |
./spec/acceptance/api/v2/user/google_accounts_spec.rb[1:1:1:1]                              | passed  | 0.07966 seconds |
./spec/acceptance/api/v2/user/google_accounts_spec.rb[1:1:2:1]                              | passed  | 0.09024 seconds |
./spec/acceptance/api/v2/user/google_accounts_spec.rb[1:1:3:1]                              | passed  | 0.10001 seconds |
