schemaname,tablename,indexname,tablespace,indexdef
public,activities,index_activities_on_remote_id,,CREATE INDEX index_activities_on_remote_id ON activities USING btree (remote_id)
public,activities,activities_on_list_id_completed,,"CREATE INDEX activities_on_list_id_completed ON activities USING btree (account_list_id, completed)"
public,activities,index_activities_on_completed_at,,CREATE INDEX index_activities_on_completed_at ON activities USING btree (completed_at)
public,activities,index_activities_on_completed,,CREATE INDEX index_activities_on_completed ON activities USING btree (completed)
public,activities,index_activities_on_notification_id,,CREATE INDEX index_activities_on_notification_id ON activities USING btree (notification_id)
public,activities,index_activities_on_activity_type,,CREATE INDEX index_activities_on_activity_type ON activities USING btree (activity_type)
public,activities,index_activities_on_start_at,,CREATE INDEX index_activities_on_start_at ON activities USING btree (start_at)
public,organizations,index_organizations_on_query_ini_url,,CREATE UNIQUE INDEX index_organizations_on_query_ini_url ON organizations USING btree (query_ini_url)
public,person_linkedin_accounts,index_person_linkedin_accounts_on_person_id_and_remote_id,,"CREATE UNIQUE INDEX index_person_linkedin_accounts_on_person_id_and_remote_id ON person_linkedin_accounts USING btree (person_id, remote_id)"
public,person_linkedin_accounts,index_person_linkedin_accounts_on_remote_id,,CREATE INDEX index_person_linkedin_accounts_on_remote_id ON person_linkedin_accounts USING btree (remote_id)
public,master_addresses,index_master_addresses_on_street,,CREATE INDEX index_master_addresses_on_street ON master_addresses USING btree (street)
public,master_addresses,index_master_addresses_on_country,,CREATE INDEX index_master_addresses_on_country ON master_addresses USING btree (country)
public,master_addresses,index_master_addresses_on_state,,CREATE INDEX index_master_addresses_on_state ON master_addresses USING btree (state)
public,master_addresses,index_master_addresses_on_city,,CREATE INDEX index_master_addresses_on_city ON master_addresses USING btree (city)
public,master_addresses,index_master_addresses_on_latitude,,CREATE INDEX index_master_addresses_on_latitude ON master_addresses USING btree (latitude)
public,master_addresses,index_master_addresses_on_postal_code,,CREATE INDEX index_master_addresses_on_postal_code ON master_addresses USING btree (postal_code)
public,master_addresses,all_fields,,"CREATE INDEX all_fields ON master_addresses USING btree (street, city, state, country, postal_code)"
public,person_organization_accounts,index_person_organization_accounts_on_last_download_attempt_at,,CREATE INDEX index_person_organization_accounts_on_last_download_attempt_at ON person_organization_accounts USING btree (last_download_attempt_at)
public,person_organization_accounts,user_id_and_organization_id,,"CREATE UNIQUE INDEX user_id_and_organization_id ON person_organization_accounts USING btree (person_id, organization_id)"
public,designation_profiles,index_designation_profiles_on_account_list_id,,CREATE INDEX index_designation_profiles_on_account_list_id ON designation_profiles USING btree (account_list_id)
public,designation_profiles,unique_remote_id,,"CREATE UNIQUE INDEX unique_remote_id ON designation_profiles USING btree (user_id, organization_id, remote_id)"
public,designation_profiles,index_designation_profiles_on_organization_id,,CREATE INDEX index_designation_profiles_on_organization_id ON designation_profiles USING btree (organization_id)
public,company_positions,index_company_positions_on_start_date,,CREATE INDEX index_company_positions_on_start_date ON company_positions USING btree (start_date)
public,company_positions,index_company_positions_on_company_id,,CREATE INDEX index_company_positions_on_company_id ON company_positions USING btree (company_id)
public,company_positions,index_company_positions_on_person_id,,CREATE INDEX index_company_positions_on_person_id ON company_positions USING btree (person_id)
public,messages,index_messages_on_account_list_id,,CREATE INDEX index_messages_on_account_list_id ON messages USING btree (account_list_id)
public,messages,index_messages_on_contact_id,,CREATE INDEX index_messages_on_contact_id ON messages USING btree (contact_id)
public,messages,index_messages_on_to_id,,CREATE INDEX index_messages_on_to_id ON messages USING btree (to_id)
public,messages,index_messages_on_from_id,,CREATE INDEX index_messages_on_from_id ON messages USING btree (from_id)
public,pictures,picture_of,,"CREATE INDEX picture_of ON pictures USING btree (picture_of_id, picture_of_type)"
public,company_partnerships,index_company_partnerships_on_company_id,,CREATE INDEX index_company_partnerships_on_company_id ON company_partnerships USING btree (company_id)
public,company_partnerships,unique_company_account,,"CREATE UNIQUE INDEX unique_company_account ON company_partnerships USING btree (account_list_id, company_id)"
public,person_key_accounts,index_person_key_accounts_on_remote_id,,CREATE INDEX index_person_key_accounts_on_remote_id ON person_key_accounts USING btree (remote_id)
public,person_key_accounts,index_person_key_accounts_on_person_id,,CREATE INDEX index_person_key_accounts_on_person_id ON person_key_accounts USING btree (person_id)
public,master_companies,index_master_companies_on_name,,CREATE INDEX index_master_companies_on_name ON master_companies USING btree (name)
public,master_person_donor_accounts,index_master_person_donor_accounts_on_donor_account_id,,CREATE INDEX index_master_person_donor_accounts_on_donor_account_id ON master_person_donor_accounts USING btree (donor_account_id)
public,master_person_donor_accounts,person_account,,"CREATE UNIQUE INDEX person_account ON master_person_donor_accounts USING btree (master_person_id, donor_account_id)"
public,prayer_letters_accounts,index_prayer_letters_accounts_on_account_list_id,,CREATE INDEX index_prayer_letters_accounts_on_account_list_id ON prayer_letters_accounts USING btree (account_list_id)
public,contact_referrals,index_contact_referrals_on_referred_to_id,,CREATE INDEX index_contact_referrals_on_referred_to_id ON contact_referrals USING btree (referred_to_id)
public,contact_referrals,referrals,,"CREATE INDEX referrals ON contact_referrals USING btree (referred_by_id, referred_to_id)"
public,activity_contacts,index_activity_contacts_on_contact_id_and_activity_id,,"CREATE UNIQUE INDEX index_activity_contacts_on_contact_id_and_activity_id ON activity_contacts USING btree (contact_id, activity_id)"
public,activity_contacts,index_activity_contacts_on_contact_id,,CREATE INDEX index_activity_contacts_on_contact_id ON activity_contacts USING btree (contact_id)
public,activity_contacts,index_activity_contacts_on_activity_id_and_contact_id,,"CREATE INDEX index_activity_contacts_on_activity_id_and_contact_id ON activity_contacts USING btree (activity_id, contact_id)"
public,contact_people,index_contact_people_on_contact_id_and_person_id,,"CREATE UNIQUE INDEX index_contact_people_on_contact_id_and_person_id ON contact_people USING btree (contact_id, person_id)"
public,contact_people,index_contact_people_on_person_id,,CREATE INDEX index_contact_people_on_person_id ON contact_people USING btree (person_id)
public,designation_profile_accounts,designation_p_to_a,,"CREATE UNIQUE INDEX designation_p_to_a ON designation_profile_accounts USING btree (designation_profile_id, designation_account_id)"
public,master_person_sources,index_master_person_sources_on_master_person_id,,CREATE INDEX index_master_person_sources_on_master_person_id ON master_person_sources USING btree (master_person_id)
public,master_person_sources,organization_remote_id,,"CREATE UNIQUE INDEX organization_remote_id ON master_person_sources USING btree (organization_id, remote_id)"
public,account_lists,index_account_lists_on_creator_id,,CREATE INDEX index_account_lists_on_creator_id ON account_lists USING btree (creator_id)
public,contact_donor_accounts,index_contact_donor_accounts_on_donor_account_id,,CREATE INDEX index_contact_donor_accounts_on_donor_account_id ON contact_donor_accounts USING btree (donor_account_id)
public,contact_donor_accounts,index_contact_donor_accounts_on_contact_id,,CREATE INDEX index_contact_donor_accounts_on_contact_id ON contact_donor_accounts USING btree (contact_id)
public,activity_comments,index_activity_comments_on_person_id,,CREATE INDEX index_activity_comments_on_person_id ON activity_comments USING btree (person_id)
public,activity_comments,index_activity_comments_on_activity_id,,CREATE INDEX index_activity_comments_on_activity_id ON activity_comments USING btree (activity_id)
public,google_events,index_google_events_on_google_integration_id,,CREATE INDEX index_google_events_on_google_integration_id ON google_events USING btree (google_integration_id)
public,google_events,index_google_events_on_activity_id,,CREATE INDEX index_google_events_on_activity_id ON google_events USING btree (activity_id)
public,taggings,taggings_idy,,"CREATE INDEX taggings_idy ON taggings USING btree (taggable_id, taggable_type, tagger_id, context)"
public,taggings,index_taggings_on_tagger_id_and_tagger_type,,"CREATE INDEX index_taggings_on_tagger_id_and_tagger_type ON taggings USING btree (tagger_id, tagger_type)"
public,taggings,index_taggings_on_context,,CREATE INDEX index_taggings_on_context ON taggings USING btree (context)
public,taggings,index_taggings_on_tagger_id,,CREATE INDEX index_taggings_on_tagger_id ON taggings USING btree (tagger_id)
public,taggings,index_taggings_on_taggable_type,,CREATE INDEX index_taggings_on_taggable_type ON taggings USING btree (taggable_type)
public,taggings,index_taggings_on_tag_id,,CREATE INDEX index_taggings_on_tag_id ON taggings USING btree (tag_id)
public,taggings,index_taggings_on_taggable_id_and_taggable_type_and_context,,"CREATE INDEX index_taggings_on_taggable_id_and_taggable_type_and_context ON taggings USING btree (taggable_id, taggable_type, context)"
public,taggings,INDEX_TAGGINGS_ON_TAGGABLE_ID,,"CREATE INDEX ""INDEX_TAGGINGS_ON_TAGGABLE_ID"" ON taggings USING btree (taggable_id)"
public,taggings,taggings_idx,,"CREATE UNIQUE INDEX taggings_idx ON taggings USING btree (tag_id, taggable_id, taggable_type, context, tagger_id, tagger_type)"
public,tags,tags_on_lower_name,,CREATE INDEX tags_on_lower_name ON tags USING btree (lower((name)::text))
public,tags,index_tags_on_name,,CREATE UNIQUE INDEX index_tags_on_name ON tags USING btree (name)
public,appeal_contacts,index_appeal_contacts_on_appeal_id_and_contact_id,,"CREATE UNIQUE INDEX index_appeal_contacts_on_appeal_id_and_contact_id ON appeal_contacts USING btree (appeal_id, contact_id)"
public,appeal_contacts,index_appeal_contacts_on_appeal_id,,CREATE INDEX index_appeal_contacts_on_appeal_id ON appeal_contacts USING btree (appeal_id)
public,appeal_contacts,index_appeal_contacts_on_contact_id,,CREATE INDEX index_appeal_contacts_on_contact_id ON appeal_contacts USING btree (contact_id)
public,google_emails,index_google_emails_on_google_account_id_and_google_email_id,,"CREATE INDEX index_google_emails_on_google_account_id_and_google_email_id ON google_emails USING btree (google_account_id, google_email_id)"
public,google_email_activities,index_google_email_activities_on_google_email_id,,CREATE INDEX index_google_email_activities_on_google_email_id ON google_email_activities USING btree (google_email_id)
public,google_email_activities,index_google_email_activities_on_activity_id,,CREATE INDEX index_google_email_activities_on_activity_id ON google_email_activities USING btree (activity_id)
public,person_websites,index_person_websites_on_person_id,,CREATE INDEX index_person_websites_on_person_id ON person_websites USING btree (person_id)
public,imports,index_imports_on_user_id,,CREATE INDEX index_imports_on_user_id ON imports USING btree (user_id)
public,imports,index_imports_on_account_list_id,,CREATE INDEX index_imports_on_account_list_id ON imports USING btree (account_list_id)
public,appeals,index_appeals_on_account_list_id,,CREATE INDEX index_appeals_on_account_list_id ON appeals USING btree (account_list_id)
public,name_male_ratios,index_name_male_ratios_on_name,,CREATE UNIQUE INDEX index_name_male_ratios_on_name ON name_male_ratios USING btree (name)
public,google_contacts,index_google_contacts_on_person_id_and_contact_id,,"CREATE INDEX index_google_contacts_on_person_id_and_contact_id ON google_contacts USING btree (person_id, contact_id)"
public,google_contacts,index_google_contacts_on_contact_id,,CREATE INDEX index_google_contacts_on_contact_id ON google_contacts USING btree (contact_id)
public,google_contacts,index_google_contacts_on_google_account_id,,CREATE INDEX index_google_contacts_on_google_account_id ON google_contacts USING btree (google_account_id)
public,google_contacts,index_google_contacts_on_person_id,,CREATE INDEX index_google_contacts_on_person_id ON google_contacts USING btree (person_id)
public,google_contacts,index_google_contacts_on_remote_id,,CREATE INDEX index_google_contacts_on_remote_id ON google_contacts USING btree (remote_id)
public,nicknames,index_nicknames_on_name_and_nickname,,"CREATE UNIQUE INDEX index_nicknames_on_name_and_nickname ON nicknames USING btree (name, nickname)"
public,nicknames,index_nicknames_on_nickname,,CREATE INDEX index_nicknames_on_nickname ON nicknames USING btree (nickname)
public,nicknames,index_nicknames_on_name,,CREATE INDEX index_nicknames_on_name ON nicknames USING btree (name)
public,google_integrations,index_google_integrations_on_google_account_id,,CREATE INDEX index_google_integrations_on_google_account_id ON google_integrations USING btree (google_account_id)
